commit,date,status,num_packages
9ac4a5d04d9fc8cbdaf0419e4e4e3ef3f1e79b1d,2015-10-15 18:08:01 +0200,idle,1098
9ac4a5d04d9fc8cbdaf0419e4e4e3ef3f1e79b1d,2015-10-15 18:08:01 +0200,in-progress,8
9ac4a5d04d9fc8cbdaf0419e4e4e3ef3f1e79b1d,2015-10-15 18:08:01 +0200,released,907
9ac4a5d04d9fc8cbdaf0419e4e4e3ef3f1e79b1d,2015-10-15 18:08:01 +0200,legacy-leaf,0
9ac4a5d04d9fc8cbdaf0419e4e4e3ef3f1e79b1d,2015-10-15 18:08:01 +0200,mispackaged,0
753c0e25042e769684426cd65cafd516c78b028c,2015-10-15 22:18:09 +0200,blocked,901
753c0e25042e769684426cd65cafd516c78b028c,2015-10-15 22:18:09 +0200,py3-only,0
753c0e25042e769684426cd65cafd516c78b028c,2015-10-15 22:18:09 +0200,dropped,11
753c0e25042e769684426cd65cafd516c78b028c,2015-10-15 22:18:09 +0200,idle,1103
753c0e25042e769684426cd65cafd516c78b028c,2015-10-15 22:18:09 +0200,in-progress,8
753c0e25042e769684426cd65cafd516c78b028c,2015-10-15 22:18:09 +0200,released,907
753c0e25042e769684426cd65cafd516c78b028c,2015-10-15 22:18:09 +0200,legacy-leaf,0
753c0e25042e769684426cd65cafd516c78b028c,2015-10-15 22:18:09 +0200,mispackaged,0
8fc4a77d2fe55250666b70bd131dbbd237918b3a,2015-10-16 13:26:50 +0200,blocked,884
8fc4a77d2fe55250666b70bd131dbbd237918b3a,2015-10-16 13:26:50 +0200,py3-only,0
8fc4a77d2fe55250666b70bd131dbbd237918b3a,2015-10-16 13:26:50 +0200,dropped,11
8fc4a77d2fe55250666b70bd131dbbd237918b3a,2015-10-16 13:26:50 +0200,idle,1120
8fc4a77d2fe55250666b70bd131dbbd237918b3a,2015-10-16 13:26:50 +0200,in-progress,8
8fc4a77d2fe55250666b70bd131dbbd237918b3a,2015-10-16 13:26:50 +0200,released,907
8fc4a77d2fe55250666b70bd131dbbd237918b3a,2015-10-16 13:26:50 +0200,legacy-leaf,0
8fc4a77d2fe55250666b70bd131dbbd237918b3a,2015-10-16 13:26:50 +0200,mispackaged,0
d11a4fad02edbcfa45e0bd079c5d9412775df1c0,2015-10-18 01:53:32 +0200,blocked,856
d11a4fad02edbcfa45e0bd079c5d9412775df1c0,2015-10-18 01:53:32 +0200,py3-only,0
d11a4fad02edbcfa45e0bd079c5d9412775df1c0,2015-10-18 01:53:32 +0200,dropped,14
d11a4fad02edbcfa45e0bd079c5d9412775df1c0,2015-10-18 01:53:32 +0200,idle,1145
d11a4fad02edbcfa45e0bd079c5d9412775df1c0,2015-10-18 01:53:32 +0200,in-progress,8
d11a4fad02edbcfa45e0bd079c5d9412775df1c0,2015-10-18 01:53:32 +0200,released,907
d11a4fad02edbcfa45e0bd079c5d9412775df1c0,2015-10-18 01:53:32 +0200,legacy-leaf,0
d11a4fad02edbcfa45e0bd079c5d9412775df1c0,2015-10-18 01:53:32 +0200,mispackaged,0
68cf07a32d8b59facd47b5e70476f94a7077347a,2015-10-18 01:57:10 +0200,blocked,856
68cf07a32d8b59facd47b5e70476f94a7077347a,2015-10-18 01:57:10 +0200,py3-only,0
68cf07a32d8b59facd47b5e70476f94a7077347a,2015-10-18 01:57:10 +0200,dropped,14
68cf07a32d8b59facd47b5e70476f94a7077347a,2015-10-18 01:57:10 +0200,idle,1145
68cf07a32d8b59facd47b5e70476f94a7077347a,2015-10-18 01:57:10 +0200,in-progress,8
68cf07a32d8b59facd47b5e70476f94a7077347a,2015-10-18 01:57:10 +0200,released,907
68cf07a32d8b59facd47b5e70476f94a7077347a,2015-10-18 01:57:10 +0200,legacy-leaf,0
68cf07a32d8b59facd47b5e70476f94a7077347a,2015-10-18 01:57:10 +0200,mispackaged,0
fee8efcc380fe8bb76e5bc1baa5daad4c89f3f30,2015-10-19 10:35:48 +0200,blocked,850
fee8efcc380fe8bb76e5bc1baa5daad4c89f3f30,2015-10-19 10:35:48 +0200,py3-only,0
fee8efcc380fe8bb76e5bc1baa5daad4c89f3f30,2015-10-19 10:35:48 +0200,dropped,15
fee8efcc380fe8bb76e5bc1baa5daad4c89f3f30,2015-10-19 10:35:48 +0200,idle,1150
fee8efcc380fe8bb76e5bc1baa5daad4c89f3f30,2015-10-19 10:35:48 +0200,in-progress,8
fee8efcc380fe8bb76e5bc1baa5daad4c89f3f30,2015-10-19 10:35:48 +0200,released,907
fee8efcc380fe8bb76e5bc1baa5daad4c89f3f30,2015-10-19 10:35:48 +0200,legacy-leaf,0
fee8efcc380fe8bb76e5bc1baa5daad4c89f3f30,2015-10-19 10:35:48 +0200,mispackaged,0
4485c3bc709b7f3a053bd0d4f88fd8c40baa97d5,2015-10-19 10:44:09 +0200,blocked,850
4485c3bc709b7f3a053bd0d4f88fd8c40baa97d5,2015-10-19 10:44:09 +0200,py3-only,0
4485c3bc709b7f3a053bd0d4f88fd8c40baa97d5,2015-10-19 10:44:09 +0200,dropped,15
4485c3bc709b7f3a053bd0d4f88fd8c40baa97d5,2015-10-19 10:44:09 +0200,idle,1148
4485c3bc709b7f3a053bd0d4f88fd8c40baa97d5,2015-10-19 10:44:09 +0200,in-progress,8
4485c3bc709b7f3a053bd0d4f88fd8c40baa97d5,2015-10-19 10:44:09 +0200,released,909
4485c3bc709b7f3a053bd0d4f88fd8c40baa97d5,2015-10-19 10:44:09 +0200,legacy-leaf,0
4485c3bc709b7f3a053bd0d4f88fd8c40baa97d5,2015-10-19 10:44:09 +0200,mispackaged,0
abe2b58a461fa2d653d8530fd434308d02915ad2,2015-10-21 11:50:35 +0200,blocked,850
abe2b58a461fa2d653d8530fd434308d02915ad2,2015-10-21 11:50:35 +0200,py3-only,0
abe2b58a461fa2d653d8530fd434308d02915ad2,2015-10-21 11:50:35 +0200,dropped,15
abe2b58a461fa2d653d8530fd434308d02915ad2,2015-10-21 11:50:35 +0200,idle,1146
abe2b58a461fa2d653d8530fd434308d02915ad2,2015-10-21 11:50:35 +0200,in-progress,8
abe2b58a461fa2d653d8530fd434308d02915ad2,2015-10-21 11:50:35 +0200,released,911
abe2b58a461fa2d653d8530fd434308d02915ad2,2015-10-21 11:50:35 +0200,legacy-leaf,0
abe2b58a461fa2d653d8530fd434308d02915ad2,2015-10-21 11:50:35 +0200,mispackaged,0
ab1ad23f5da874218c82287b9ab477ead62b100b,2015-10-22 14:41:28 +0200,blocked,825
ab1ad23f5da874218c82287b9ab477ead62b100b,2015-10-22 14:41:28 +0200,py3-only,0
ab1ad23f5da874218c82287b9ab477ead62b100b,2015-10-22 14:41:28 +0200,dropped,15
ab1ad23f5da874218c82287b9ab477ead62b100b,2015-10-22 14:41:28 +0200,idle,1171
ab1ad23f5da874218c82287b9ab477ead62b100b,2015-10-22 14:41:28 +0200,in-progress,8
ab1ad23f5da874218c82287b9ab477ead62b100b,2015-10-22 14:41:28 +0200,released,911
ab1ad23f5da874218c82287b9ab477ead62b100b,2015-10-22 14:41:28 +0200,legacy-leaf,0
ab1ad23f5da874218c82287b9ab477ead62b100b,2015-10-22 14:41:28 +0200,mispackaged,0
1de42cad04cc211af01cbdb64c488279f07eefa5,2015-10-22 16:07:55 +0200,blocked,825
1de42cad04cc211af01cbdb64c488279f07eefa5,2015-10-22 16:07:55 +0200,py3-only,0
1de42cad04cc211af01cbdb64c488279f07eefa5,2015-10-22 16:07:55 +0200,dropped,15
1de42cad04cc211af01cbdb64c488279f07eefa5,2015-10-22 16:07:55 +0200,idle,1171
1de42cad04cc211af01cbdb64c488279f07eefa5,2015-10-22 16:07:55 +0200,in-progress,8
1de42cad04cc211af01cbdb64c488279f07eefa5,2015-10-22 16:07:55 +0200,released,911
1de42cad04cc211af01cbdb64c488279f07eefa5,2015-10-22 16:07:55 +0200,legacy-leaf,0
1de42cad04cc211af01cbdb64c488279f07eefa5,2015-10-22 16:07:55 +0200,mispackaged,0
b7d578ee413ff94e6f3297a2826d803637a8a89b,2015-10-22 16:07:55 +0200,blocked,825
b7d578ee413ff94e6f3297a2826d803637a8a89b,2015-10-22 16:07:55 +0200,py3-only,0
b7d578ee413ff94e6f3297a2826d803637a8a89b,2015-10-22 16:07:55 +0200,dropped,15
b7d578ee413ff94e6f3297a2826d803637a8a89b,2015-10-22 16:07:55 +0200,idle,1171
b7d578ee413ff94e6f3297a2826d803637a8a89b,2015-10-22 16:07:55 +0200,in-progress,8
b7d578ee413ff94e6f3297a2826d803637a8a89b,2015-10-22 16:07:55 +0200,released,911
b7d578ee413ff94e6f3297a2826d803637a8a89b,2015-10-22 16:07:55 +0200,legacy-leaf,0
b7d578ee413ff94e6f3297a2826d803637a8a89b,2015-10-22 16:07:55 +0200,mispackaged,0
7589983892fc18405f3733dfd90477f9855cb905,2015-10-27 10:46:07 +0100,blocked,824
7589983892fc18405f3733dfd90477f9855cb905,2015-10-27 10:46:07 +0100,py3-only,0
7589983892fc18405f3733dfd90477f9855cb905,2015-10-27 10:46:07 +0100,dropped,15
7589983892fc18405f3733dfd90477f9855cb905,2015-10-27 10:46:07 +0100,idle,1170
7589983892fc18405f3733dfd90477f9855cb905,2015-10-27 10:46:07 +0100,in-progress,8
7589983892fc18405f3733dfd90477f9855cb905,2015-10-27 10:46:07 +0100,released,916
7589983892fc18405f3733dfd90477f9855cb905,2015-10-27 10:46:07 +0100,legacy-leaf,0
7589983892fc18405f3733dfd90477f9855cb905,2015-10-27 10:46:07 +0100,mispackaged,0
320f8a44cb7f56befef9e1bfe22c72dd6c2eb0b5,2015-11-01 21:27:03 +0100,blocked,818
320f8a44cb7f56befef9e1bfe22c72dd6c2eb0b5,2015-11-01 21:27:03 +0100,py3-only,0
320f8a44cb7f56befef9e1bfe22c72dd6c2eb0b5,2015-11-01 21:27:03 +0100,dropped,15
320f8a44cb7f56befef9e1bfe22c72dd6c2eb0b5,2015-11-01 21:27:03 +0100,idle,1177
320f8a44cb7f56befef9e1bfe22c72dd6c2eb0b5,2015-11-01 21:27:03 +0100,in-progress,8
320f8a44cb7f56befef9e1bfe22c72dd6c2eb0b5,2015-11-01 21:27:03 +0100,released,923
320f8a44cb7f56befef9e1bfe22c72dd6c2eb0b5,2015-11-01 21:27:03 +0100,legacy-leaf,0
320f8a44cb7f56befef9e1bfe22c72dd6c2eb0b5,2015-11-01 21:27:03 +0100,mispackaged,0
f8f368b8da397614ba757b014a9ab5fbad4d7ff1,2015-11-01 21:27:22 +0100,blocked,818
f8f368b8da397614ba757b014a9ab5fbad4d7ff1,2015-11-01 21:27:22 +0100,py3-only,0
f8f368b8da397614ba757b014a9ab5fbad4d7ff1,2015-11-01 21:27:22 +0100,dropped,17
f8f368b8da397614ba757b014a9ab5fbad4d7ff1,2015-11-01 21:27:22 +0100,idle,1176
